지점,지점명,일시,기온(°C),풍향(deg),강수량(mm),습도(%)
634,아산,2025-01-01 1:00,-4.6,198,0,84
634,아산,2025-01-01 2:00,-4.6,207,0,86
634,아산,2025-01-01 3:00,-3.8,182.9,0,84
634,아산,2025-01-01 4:00,-4.2,248.1,0,84
634,아산,2025-01-01 5:00,-3.6,196.9,0,81
634,아산,2025-01-01 6:00,-3.5,176.6,0,81
634,아산,2025-01-01 7:00,-2.5,151.6,0,76
634,아산,2025-01-01 8:00,-1.4,165.5,0,74
634,아산,2025-01-01 9:00,-0.2,174.8,0,73
634,아산,2025-01-01 10:00,1.7,182.5,0,67
634,아산,2025-01-01 11:00,4.7,199.9,0,59
634,아산,2025-01-01 12:00,8.1,210.3,0,51
634,아산,2025-01-01 13:00,9.4,224.8,0,46
634,아산,2025-01-01 14:00,10.1,265.9,0,41
634,아산,2025-01-01 15:00,9.5,281.2,0,30
634,아산,2025-01-01 16:00,8.6,301.8,0,32
634,아산,2025-01-01 17:00,7.1,312.2,0,38
634,아산,2025-01-01 18:00,5.4,316.3,0,47
634,아산,2025-01-01 19:00,4.7,284.1,0,51
634,아산,2025-01-01 20:00,2.3,201.3,0,61
634,아산,2025-01-01 21:00,1.1,185.1,0,66
634,아산,2025-01-01 22:00,0.8,220.8,0,70
634,아산,2025-01-01 23:00,0.5,206.6,0,75
634,아산,2025-01-02 0:00,-0.1,211.4,0,80
634,아산,2025-01-02 1:00,-0.5,197.5,0,83
634,아산,2025-01-02 2:00,-2.1,171.6,0,86
634,아산,2025-01-02 3:00,-2.8,215.2,0,91
634,아산,2025-01-02 4:00,-2.8,197,0,93
634,아산,2025-01-02 5:00,-3.1,206.6,0,91
634,아산,2025-01-02 6:00,-3.7,192.7,0,94
634,아산,2025-01-02 7:00,-3.9,161,0,92
634,아산,2025-01-02 8:00,-3.9,210.2,0,92
634,아산,2025-01-02 9:00,-2.9,216.4,0,91
634,아산,2025-01-02 10:00,-0.6,206.9,0,86
634,아산,2025-01-02 11:00,1.9,342.1,0,52
634,아산,2025-01-02 12:00,2.7,22,0,42
634,아산,2025-01-02 13:00,4,329.7,0,39
634,아산,2025-01-02 14:00,4.6,302.8,0,32
634,아산,2025-01-02 15:00,4.8,292.9,0,27
634,아산,2025-01-02 16:00,4.8,324.7,0,26
634,아산,2025-01-02 17:00,3.4,304.9,0,42
634,아산,2025-01-02 18:00,1.6,298.3,0,50
634,아산,2025-01-02 19:00,1.3,292.3,0,46
634,아산,2025-01-02 20:00,0.2,271.5,0,51
634,아산,2025-01-02 21:00,-0.5,274.5,0,53
634,아산,2025-01-02 22:00,-0.9,321.9,0,60
634,아산,2025-01-02 23:00,-1.8,230.5,0,63
634,아산,2025-01-03 0:00,0.2,312.2,0,51
634,아산,2025-01-03 1:00,0.2,280.1,0,65
634,아산,2025-01-03 2:00,-1.3,131.2,0,53
634,아산,2025-01-03 3:00,-2.2,62.8,0,47
634,아산,2025-01-03 4:00,-2.9,60,0,48
634,아산,2025-01-03 5:00,-3,59.1,0,49
634,아산,2025-01-03 6:00,-5.7,205.9,0,71
634,아산,2025-01-03 7:00,-6,200.4,0,69
634,아산,2025-01-03 8:00,-6.4,209.9,0,73
634,아산,2025-01-03 9:00,-4,187.2,0,63
634,아산,2025-01-03 10:00,-1.2,205.9,0,57
634,아산,2025-01-03 11:00,0,320.8,0,34
634,아산,2025-01-03 12:00,1.5,15.3,0,21
634,아산,2025-01-03 13:00,3.1,262.1,0,29
634,아산,2025-01-03 14:00,2.2,224,0,31
634,아산,2025-01-03 15:00,2,298.4,0,46
634,아산,2025-01-03 16:00,1.5,268.3,0,55
634,아산,2025-01-03 17:00,-0.9,225.1,0,91
634,아산,2025-01-03 18:00,-2.5,210,0,94
634,아산,2025-01-03 19:00,-2.4,176.1,0,94
634,아산,2025-01-03 20:00,-1.9,195.2,0,94
634,아산,2025-01-03 21:00,-3.2,221,0,95
634,아산,2025-01-03 22:00,-3,219.1,0,95
634,아산,2025-01-03 23:00,-2.6,0,0,91
634,아산,2025-01-04 0:00,-1.1,304.5,0,78
634,아산,2025-01-04 1:00,-0.6,292.6,0,66
634,아산,2025-01-04 2:00,-1.5,80.8,0,58
634,아산,2025-01-04 3:00,-2.3,49.1,0,63
634,아산,2025-01-04 4:00,-2.8,38.9,0,58
634,아산,2025-01-04 5:00,-4.4,222.3,0,67
634,아산,2025-01-04 6:00,-6,126.6,0,79
634,아산,2025-01-04 7:00,-6.8,149.1,0,83
634,아산,2025-01-04 8:00,-7.3,219,0,87
634,아산,2025-01-04 9:00,-5.2,212.3,0,80
634,아산,2025-01-04 10:00,-1.7,211.4,0,66
634,아산,2025-01-04 11:00,1,121.3,0,39
634,아산,2025-01-04 12:00,1.6,243.8,0,49
634,아산,2025-01-04 13:00,3.3,238.4,0,40
634,아산,2025-01-04 14:00,2.5,295.8,0,41
634,아산,2025-01-04 15:00,3,41.1,0,38
634,아산,2025-01-04 16:00,4.1,205.1,0,34
634,아산,2025-01-04 17:00,2.8,178.1,0,44
634,아산,2025-01-04 18:00,0.5,156.9,0,53
